name,date,ACT,NSW,NW,QLD,SA,TAS,VIC,WA
New Year's Day,1-Jan,YES,YES,YES,YES,YES,YES,YES,YES
Australia Day,26-Jan,YES,YES,YES,YES,YES,YES,YES,YES
Good Friday,25-Mar,YES,YES,YES,YES,YES,YES,YES,YES
Easter Saturday,26-Mar,YES,YES,YES,YES,YES,YES,YES,NO
Easter Sunday,27-Mar,NO,NO,YES,NO,NO,NO,NO,NO
Easter Monday,28-Mar,YES,YES,YES,YES,YES,YES,YES,YES
Easter Tuesday,29-Mar,NO,NO,NO,NO,NO,NO,NO,NO
Anzac Day,25-Apr,YES,YES,YES,YES,YES,YES,YES,YES
Melbourne Cup,1-Nov,NO,NO,NO,NO,NO,NO,YES,NO
Christmas Eve,24-Dec,NO,NO,NO,NO,NO,NO,NO,NO
Christmas Day,25-Dec,YES,YES,YES,YES,YES,YES,YES,YES
Boxing Day,26-Dec,YES,YES,YES,YES,YES,NO,YES,YES
New Year's Eve,31-Dec,NO,NO,NO,NO,NO,YES,NO,NO
